geometry.coordinates,properties.GRID_ADDRE,properties.FIXTURE_ST,long,lat,copyright,date,pano_id,status,view_lat,view_long,streetview_dist,light_shown,pole_shown,able_zoom,pan_need,bearing_adj,remove
"[-78.477631, 38.049702]",G0026MF8800,ENFL,-78.477631,38.049702,© Google,2019-07,EOc_BNFS1-360qzSsDCyYA,OK,38.0495403,-78.4773945,27.44177218,1,1,1,,,
"[-78.477631, 38.049702]",G0026MF8800,ENFL,-78.477631,38.049702,© Google,2019-07,EOc_BNFS1-360qzSsDCyYA,OK,38.0495403,-78.4773945,27.44177218,1,1,1,,,
"[-78.461665, 38.035181]",G0025VK8200,ENCL,-78.461665,38.035181,© Google,2019-07,SA5Lt61vnpUh4SZ3UwUchA,OK,38.0349785,-78.4614778,27.84423678,1,1,1,,,
"[-78.461665, 38.035181]",G0025VK8200,ENCL,-78.461665,38.035181,© Google,2019-07,SA5Lt61vnpUh4SZ3UwUchA,OK,38.0349785,-78.4614778,27.84423678,1,1,1,,,
"[-78.454809, 38.025596]",G0125BD8400,CTMP,-78.454809,38.025596,© Google,2019-07,Q_rFF3HR0cKlQbUMBP5pKg,OK,38.02544219,-78.45455761,27.90437257,1,1,1,,,
"[-78.455306, 38.024814]",G0125BC4600,COLN,-78.455306,38.024814,© Google,2019-07,NRqavxRFnBZ6oo2hhqzmEQ,OK,38.02467591,-78.45503723,28.13954746,,,,,,
"[-78.482493, 38.012485]",G0024KI0800,ENCL,-78.482493,38.012485,© Google,2012-07,MMCC_GcvwTzHnSEYxzRDNw,OK,38.0127379,-78.4824587,28.23221393,1,1,1,,,
"[-78.48701, 38.013347]",G0024GJ9500,DIR,-78.48701,38.013347,© Google,2019-07,_8HN4DGhm1cf0ZTKYTJteQ,OK,38.01352316,-78.48724763,28.59712919,,,,,,
"[-78.48701, 38.013347]",G0024GJ9500,DIR,-78.48701,38.013347,© Google,2019-07,_8HN4DGhm1cf0ZTKYTJteQ,OK,38.01352316,-78.48724763,28.59712919,,,,,,
"[-78.47355, 38.061817]",G0026OO8600,OPEN,-78.47355,38.061817,© Google,2014-10,uG4eDtjkjENuNKFdatkvNQ,OK,38.0618398,-78.4738779,28.88713749,,,,,,
"[-78.478821, 38.047607]",G0026ME0300,RECT,-78.478821,38.047607,© Google,2019-07,hElW0UE5qqe1ZCj1myI_3g,OK,38.0475149,-78.4791329,29.22362463,1,1,1,,,
"[-78.468051, 38.044492]",G0026SC2000,COLN,-78.468051,38.044492,© Google,2014-10,R7gCJzkDNG5727idZn2Big,OK,38.0443512,-78.4677642,29.63166582,1,1,1,,,
"[-78.492752, 38.033675]",G0025EJ0200,CTMP,-78.492752,38.033675,© Google,2019-07,iG6Imidqg5Re2bkE7Go_RA,OK,38.0338924,-78.4925543,29.72444437,1,1,1,,,
